"","test","proportion","metric","min_diff","mean_diff","max_diff","min_lead","mean_lead","max_lead"
"1","snh",0.6,"mutual.info.change",0,7.92207965677551,29.5757640519619,0.57445336682012,0.819989081105834,0.91820336682012
"2","snh",0.6,"watts.strogatz.hesitant.change",7.0842395782816,82.109710159702,174.272293625727,0.0119533668201203,0.450346223962977,0.94945336682012
"3","snh",0.6,"watts.strogatz.nonvacc.change",0,21.3756670946967,73.0749549516377,0.0119533668201203,0.0565962239629774,0.11820336682012
"4","snh",0.6,"watts.strogatz.vacc.change",0,92.5558606016404,414.611048776789,-0.00679663317987972,0.184274795391549,0.91820336682012
"5","snh",0.6,"watts.strogatz.all.change",0,53.99372782749,169.983661031008,0.0369533668201203,0.303620033486787,0.85570336682012
"6","snh",0.6,"prob.sick.hesitant.change",0,76.6577742749686,243.911099965809,0.0119533668201203,0.322370033486787,0.79320336682012
"7","snh",0.6,"prob.sick.nonvacc.change",NA,NA,NA,Inf,NA,-Inf
"8","snh",0.6,"prob.sick.vacc.change",0,65.8247249380082,155.302345466554,0.00570336682012029,0.512250985867739,0.98070336682012
"9","snh",0.6,"HH.join.count.change",0,36.3796986747531,96.4570111231162,0.0557033668201203,0.495584319201072,0.85570336682012
"10","snh",0.6,"NN.join.count.change",0,21.3756670946967,73.0749549516377,0.0119533668201203,0.0565962239629774,0.11820336682012
"11","snh",0.6,"VV.join.count.change",0,11.9478120488082,50.1808106049945,0.41820336682012,0.781298604915358,0.98070336682012
"12","snh",0.6,"HN.join.count.change",11.997760703449,206.818541649931,335.937299696573,0.57445336682012,0.799155747772501,0.94945336682012
"13","snh",0.6,"HV.join.count.change",0,13.3325486947507,41.619172276857,0.57445336682012,0.799155747772501,0.94945336682012
"14","snh",0.6,"NV.join.count.change",0,48.4251788283911,149.5160116042,0.57445336682012,0.799155747772501,0.94945336682012
"15","snh",0.6,"hesitant.min.conn.comp.size.change",2.45590580107926,79.2321990586286,173.141358976088,0.0994533668201203,0.539631938248691,0.98070336682012
"16","snh",0.6,"hesitant.max.conn.comp.size.change",4.28542862688592,28.9776602389429,75.4235438331922,0.11820336682012,0.592310509677263,0.91820336682012
"17","snh",0.6,"hesitant.avg.conn.comp.size.change",0,24.7330452180273,66.8526865794204,0.18070336682012,0.59647717634393,0.98070336682012
"18","snh",0.6,"hesitant.number.conn.comps.change",0,12.6135064192088,53.744505612281,0.41820336682012,0.735167652534406,0.94945336682012
"19","snh",0.6,"nonvacc.min.conn.comp.size.change",0,58.1661672848064,132.223091611338,0.0369533668201203,0.492608128724882,0.98070336682012
"20","snh",0.6,"nonvacc.max.conn.comp.size.change",0,58.1661672848064,132.223091611338,0.0369533668201203,0.492608128724882,0.98070336682012
"21","snh",0.6,"nonvacc.avg.conn.comp.size.change",0,62.2588219890788,138.667376248403,0.0369533668201203,0.486358128724882,0.98070336682012
"22","snh",0.6,"nonvacc.number.conn.comps.change",0,70.3844278161992,145.611568414123,0.0369533668201203,0.486358128724882,0.98070336682012
"23","snh",0.6,"vacc.min.conn.comp.size.change",0,12.1205064419261,56.1464636648045,0.48070336682012,0.787250985867739,0.91820336682012
"24","snh",0.6,"vacc.max.conn.comp.size.change",3.78356111607791,13.3325486947507,56.7534167411686,0.48070336682012,0.787250985867739,0.91820336682012
"25","snh",0.6,"vacc.avg.conn.comp.size.change",0,12.1205064419261,56.1464636648045,0.48070336682012,0.787250985867739,0.91820336682012
"26","snh",0.6,"vacc.number.conn.comps.change",0,95.0532929477648,249.514893987882,-0.00679663317987972,0.0208819382486917,0.0557033668201203
"27","snh",0.6,"hesitant.min.chamber.size.change",NA,NA,NA,Inf,NA,-Inf
"28","snh",0.6,"hesitant.max.chamber.size.change",NA,NA,NA,Inf,NA,-Inf
"29","snh",0.6,"hesitant.avg.chamber.size.change",NA,NA,NA,Inf,NA,-Inf
"30","snh",0.6,"hesitant.number.chambers.change",NA,NA,NA,Inf,NA,-Inf
"31","snh",0.6,"nonvacc.min.chamber.size.change",0,21.3756670946967,73.0749549516377,0.0119533668201203,0.0565962239629774,0.11820336682012
"32","snh",0.6,"nonvacc.max.chamber.size.change",0,21.3756670946967,73.0749549516377,0.0119533668201203,0.0565962239629774,0.11820336682012
"33","snh",0.6,"nonvacc.avg.chamber.size.change",0,21.3756670946967,73.0749549516377,0.0119533668201203,0.0565962239629774,0.11820336682012
"34","snh",0.6,"nonvacc.number.chambers.change",0,21.3756670946967,73.0749549516377,0.0119533668201203,0.0565962239629774,0.11820336682012
"35","snh",0.6,"vacc.min.chamber.size.change",5.10659826293361,28.5483160032574,57.1939005448564,0.0994533668201203,0.635465271582025,0.94945336682012
"36","snh",0.6,"vacc.max.chamber.size.change",0,10.0542442471954,46.0667190962409,0.57445336682012,0.791715271582025,0.88695336682012
"37","snh",0.6,"vacc.avg.chamber.size.change",0,23.7816826718483,48.8751663451687,0.38695336682012,0.683084319201072,0.94945336682012
"38","snh",0.6,"vacc.number.chambers.change",6.09344449463198,44.6272268225904,116.994134296934,0.0557033668201203,0.595881938248692,0.94945336682012
"39","snh",0.6,"hesitant.opinion.change.change",0,8.65509632207987,19.3358534854976,0.73070336682012,0.830405747772501,0.91820336682012
"40","snh",0.6,"nonvacc.opinion.change.change",NA,NA,NA,Inf,NA,-Inf
"41","snh",0.6,"vacc.opinion.change.change",0,8.78084802065255,30.1057646422373,0.73070336682012,0.819989081105834,0.91820336682012
"42","snh",0.6,"total.opinion.change.change",0,8.88047946947001,29.8384110174192,0.73070336682012,0.819989081105834,0.91820336682012
